part_number	type	description	quantity_in_stock	cost	retail_price
GRMZM0000089	doodad	"Nulla posuere velit dolor, eu commodo eros vestibulum ut. Morbi ornare justo vitae interdum molestie. Aenean a tincidunt elit. Sed mattis leo dolor, et venenatis dolor fringilla at. Duis et sollicitudin odio. Aliquam et faucibus nisl. Curabitur convallis turpis nec tempor consectetur. Ut nec mi quis quam rhoncus congue. Vestibulum euismod consequat tortor, vitae elementum lectus ultricies ac. Fusce vel sapien eget metus sagittis feugiat quis vehicula sem. Donec ut faucibus metus. Cras in arcu sit amet enim vehicula tincidunt eget in justo."	6957	$0.92	$1.29
GRMZM0000090	widget	"Nullam vel nulla sollicitudin, molestie ante porta, faucibus ipsum. Nunc non vehicula ligula, vehicula vehicula risus. Aliquam dolor turpis, hendrerit ut placerat non, rutrum eu erat. Fusce nec nunc a erat ultricies tristique. Vivamus semper pellentesque purus, ac commodo est euismod vitae. Sed sapien lectus, ornare quis felis in, malesuada egestas purus. Phasellus feugiat mi neque, et mollis felis imperdiet eu. Donec gravida, mauris vel tincidunt consectetur, sapien lectus imperdiet dolor, sed tempor urna mi eu sem. Proin at tellus eu nibh tempor convallis vehicula id orci."	6859	$0.13	$0.18
GRMZM0000091	thingamajig	"Mauris sagittis at leo id sollicitudin. Sed non diam urna. Nam tortor risus, facilisis ac velit at, congue lacinia velit. Praesent aliquam lobortis lectus, eu ullamcorper dui tempus pretium. Curabitur malesuada accumsan lectus et dictum. Cras elementum venenatis mauris id faucibus. Proin ut faucibus ligula. Donec rutrum varius elit. Aenean nec massa sollicitudin nisi malesuada semper. Phasellus vestibulum vel metus a condimentum. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Aenean mollis tellus ac ipsum auctor sodales. Sed a velit quis est ultrices pharetra."	4285	$0.91	$1.27
GRMZM0000092	doodad	"Donec hendrerit dolor elementum sollicitudin sagittis. Cras vehicula diam non nisi volutpat, in sagittis enim dignissim. Mauris accumsan sed felis sit amet tempor. Suspendisse facilisis mattis consequat. Quisque hendrerit augue ut nisi gravida tempus. Aenean et orci augue. Sed tincidunt at nulla quis lacinia. Fusce rhoncus nunc nec mi eleifend, nec pulvinar sem egestas. Maecenas congue orci purus, vel rutrum sapien elementum quis. Aenean sagittis imperdiet risus at blandit. Quisque elit neque, feugiat quis lacinia non, convallis et erat. Curabitur in viverra nunc, quis adipiscing arcu."	5703	$0.07	$0.10
GRMZM0000093	widget	"Cras feugiat auctor nibh quis accumsan. Cras ac aliquet felis, sit amet varius est. In hac habitasse platea dictumst. Nunc placerat est aliquet dapibus imperdiet. Nullam metus nisi, consectetur in urna nec, placerat vehicula arcu. Nunc vitae nibh nisi. Donec erat erat, condimentum in commodo eget, molestie non lacus. Fusce sed tempus eros. Etiam faucibus purus elit, sit amet eleifend justo ornare non. In hac habitasse platea dictumst. Nam sem ligula, convallis id turpis in, placerat scelerisque tellus. Cras vel imperdiet odio, ut lobortis augue. Donec venenatis mattis sapien et dignissim. Nulla at pulvinar nisi."	2829	$0.62	$0.87
GRMZM0000094	doodad	"Maecenas suscipit tellus nulla, non consectetur dui ornare ut. Nullam tempor ipsum ut arcu faucibus, in aliquet enim pretium. Etiam tellus purus, sollicitudin tempus dictum sodales, dignissim eu tellus. Pellentesque vel erat luctus risus luctus ornare et non augue. Suspendisse ut rutrum augue. Vivamus venenatis nisi vitae risus porta bibendum in ut orci. Nam libero lacus, pulvinar at purus nec, aliquet scelerisque felis. Suspendisse laoreet sollicitudin tellus, non lacinia orci condimentum ac. Nam tincidunt, risus non rhoncus imperdiet, velit diam mollis mi, ac posuere risus ante at magna."	6209	$0.96	$1.34
GRMZM0000095	thingamajig	"Nam tempor convallis vestibulum. Cras id mauris iaculis, rhoncus lorem vel, interdum arcu. Pellentesque nisi nisi, luctus nec magna a, tempor pharetra nisl. Vivamus justo risus, cursus quis enim quis, facilisis pretium augue. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam tincidunt nulla ut elit placerat tincidunt. Pellentesque porttitor sapien eu mauris cursus blandit sit amet in dolor. Vestibulum non mollis felis. Sed venenatis lorem erat, at ullamcorper libero sagittis ut. Nullam tincidunt, ipsum sit amet viverra venenatis, nibh ligula viverra felis, sit amet dignissim urna eros nec nisi. Donec nec augue placerat, sollicitudin leo eu, pretium mauris. Sed mattis eu purus ut mollis. Aliquam adipiscing non nisl sed pulvinar. Proin convallis dignissim metus at varius. Fusce dolor neque, ultrices sit amet iaculis a, pretium sed est."	5852	$0.63	$0.88
GRMZM0000096	thingamajig	"Curabitur vulputate id nulla non sollicitudin. Ut vulputate suscipit odio. Pellentesque molestie libero ac nisl luctus, non vehicula purus consectetur. Praesent a sodales diam. Nullam pharetra dolor vitae nisi bibendum, quis dignissim eros eleifend. In malesuada ante ultricies enim suscipit porta. Pellentesque pretium ipsum vel scelerisque ornare. Duis nec fringilla tortor, sed varius velit. Sed molestie ligula quis varius bibendum. Aliquam et dignissim ligula."	7094	$0.75	$1.05
GRMZM0000097	thingamajig	"Mauris interdum condimentum hendrerit. Nunc molestie feugiat nisi, vitae placerat risus mattis eu. Curabitur in nunc id tortor condimentum rhoncus egestas sed enim. Nunc orci est, auctor et sapien at, pharetra aliquet libero. Pellentesque sagittis imperdiet purus id placerat. Integer posuere aliquet ipsum, non tempus elit rutrum sit amet. Mauris venenatis nisi tortor, sit amet accumsan metus adipiscing vel. Fusce facilisis varius tortor vel rhoncus. Sed urna turpis, semper sit amet tortor vitae, volutpat aliquam ligula. Nullam sagittis sagittis purus vitae dapibus. Vestibulum lacinia elit sed ultrices ultrices. In hac habitasse platea dictumst. Duis feugiat dapibus varius. Vestibulum vestibulum purus tortor, ut sagittis nisl gravida et. Nullam pharetra nisl vel purus semper, vel malesuada ipsum egestas."	1191	$0.74	$1.03
GRMZM0000098	thingamajig	"Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Quisque vulputate, risus quis dignissim luctus, tellus dolor interdum diam, eget porta ante metus quis turpis. Quisque luctus lacus vitae tortor aliquet egestas. Etiam quis tincidunt eros, eu tincidunt sapien. Curabitur suscipit laoreet leo vitae volutpat. Suspendisse enim nulla, sollicitudin in leo nec, vehicula dictum justo. Nam sed enim eget massa venenatis vulputate ac vitae lectus. Nulla quis porttitor massa. Integer nec augue ante. Morbi ut mi at nisl condimentum iaculis tempor vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae;"	3566	$0.03	$0.04
GRMZM0000099	widget	"Phasellus laoreet tellus urna. Aenean suscipit cursus rhoncus. Quisque luctus sit amet orci ac auctor. Integer mollis porta nulla. Praesent pellentesque ac erat quis aliquam. Etiam diam libero, gravida a auctor quis, gravida in arcu. Integer id velit vitae augue venenatis auctor a ut ante. Maecenas varius mattis velit, vitae pretium mauris porta ac. Nam dapibus urna nec tellus scelerisque, ac vulputate sem auctor. Praesent feugiat, diam tincidunt tempus hendrerit, metus augue egestas libero, quis consectetur lorem risus non quam. Suspendisse sed nulla et elit auctor sollicitudin. Quisque consequat, metus sed gravida condimentum, nisl justo convallis massa, sed cursus mauris augue eu turpis. Sed mollis nisl in erat molestie, nec auctor mauris rutrum. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Cras laoreet porta urna, vel molestie felis aliquam a."	3531	$0.55	$0.77
GRMZM0000100	doodad	"Donec in turpis sed leo viverra malesuada. Mauris tempus nisl sed laoreet blandit. Integer vehicula tempus mi id tincidunt. Nulla id purus nec ipsum imperdiet aliquet ultricies sollicitudin massa. Cras et ligula condimentum, ullamcorper justo vitae, blandit purus. Donec pulvinar velit lorem, at fermentum odio blandit vitae. Quisque turpis lorem, dictum tempor enim quis, condimentum posuere orci. Aliquam vestibulum dui sed massa porttitor tempor. Fusce faucibus vulputate massa et vestibulum. Vestibulum eget odio urna. In aliquet mi vitae elementum varius. Fusce ligula lorem, cursus feugiat rhoncus nec, porta vitae orci. Aliquam vulputate sem id nibh posuere pellentesque. Suspendisse porttitor tortor ut sagittis volutpat."	5030	$0.88	$1.23
